
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 19:44:53 / ........................................................................................ ~ 8s
  2026-05-23 19:46:07 / ........................................................................................ ~ 1s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 19:59:57 /assets/placeholders/livestock-1.jpg ................................................. ~ 4.59ms
  2026-05-23 19:59:57 /assets/brand/logo-primary.png ..................................................... ~ 536.18ms
  2026-05-23 19:59:57 /assets/placeholders/livestock-2.jpg ................................................ ~ 39.95ms
  2026-05-23 20:00:27 /categories ........................................................................ ~ 536.54ms
  2026-05-23 20:00:27 /assets/brand/logo-primary.png ....................................................... ~ 6.09ms
  2026-05-23 20:00:50 /guide ................................................................................... ~ 1s
  2026-05-23 20:00:51 /assets/brand/logo-primary.png ........................................................... ~ 2s
  2026-05-23 20:01:21 /marketplace ....................................................................... ~ 529.10ms
  2026-05-23 20:01:22 /assets/placeholders/livestock-1.jpg ................................................. ~ 3.89ms
  2026-05-23 20:01:22 /assets/placeholders/livestock-2.jpg ................................................ ~ 15.77ms
  2026-05-23 20:01:21 /assets/brand/logo-primary.png ..................................................... ~ 593.46ms
  2026-05-23 20:22:15 /marketplace ............................................................................. ~ 1s
  2026-05-23 20:22:17 /categories ........................................................................ ~ 510.35ms
  2026-05-23 20:22:18 /about ............................................................................. ~ 502.48ms
  2026-05-23 20:22:19 /guide ................................................................................... ~ 1s
  2026-05-23 20:22:20 /livestock/ayrshire-cow-nakuru ........................................................... ~ 2s
  2026-05-23 20:27:26 /marketplace ....................................................................... ~ 513.06ms
  2026-05-23 20:27:27 /guide ............................................................................. ~ 506.37ms
  2026-05-23 20:27:27 /marketplace ....................................................................... ~ 519.81ms
  2026-05-23 20:27:28 /about ............................................................................. ~ 513.76ms
  2026-05-23 20:27:27 /assets/livestock/cow-ayrshire.jpg ....................................................... ~ 1s
  2026-05-23 20:27:28 /assets/livestock/bull-real.jpg ...................................................... ~ 6.32ms
  2026-05-23 20:27:28 /assets/livestock/goat-real.jpg ..................................................... ~ 10.29ms
  2026-05-23 20:27:28 /assets/livestock/sheep-real.jpg .................................................... ~ 15.67ms
  2026-05-23 20:27:28 /assets/livestock/chicken.jpg ....................................................... ~ 17.51ms
  2026-05-23 20:27:28 /assets/brand/logo-primary.png ...................................................... ~ 27.23ms
  2026-05-23 20:27:39 /livestock/friesian-cow-nyeri ...................................................... ~ 519.91ms
  2026-05-23 20:27:40 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.85ms
  2026-05-23 20:27:40 /assets/livestock/bull-real.jpg ...................................................... ~ 0.55ms
  2026-05-23 20:27:40 /assets/brand/logo-primary.png ...................................................... ~ 18.48ms
  2026-05-23 20:27:54 /categories ........................................................................ ~ 506.25ms
  2026-05-23 20:27:54 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.60ms
  2026-05-23 20:27:54 /assets/brand/logo-primary.png ..................................................... ~ 513.45ms
  2026-05-23 20:27:54 /assets/livestock/goat-real.jpg ...................................................... ~ 5.08ms
  2026-05-23 20:27:54 /assets/livestock/cows-field.jpg .................................................... ~ 10.99ms
  2026-05-23 20:27:54 /assets/livestock/sheep-real.jpg .................................................... ~ 13.56ms
  2026-05-23 20:27:54 /assets/livestock/chicken.jpg ....................................................... ~ 16.11ms
  2026-05-23 20:27:54 /assets/brand/coming-soon-web.png ................................................... ~ 18.75ms
  2026-05-23 20:28:03 /how-it-works ...................................................................... ~ 514.90ms
  2026-05-23 20:28:03 /assets/brand/logo-primary.png ..................................................... ~ 518.39ms
  2026-05-23 20:28:05 /about ............................................................................. ~ 507.55ms
  2026-05-23 20:28:06 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.79ms
  2026-05-23 20:28:05 /assets/brand/logo-primary.png ..................................................... ~ 517.96ms
  2026-05-23 20:28:19 /guide ............................................................................. ~ 513.31ms
  2026-05-23 20:28:19 /assets/brand/logo-primary.png ..................................................... ~ 541.65ms
  2026-05-23 20:31:44 /guide ............................................................................. ~ 503.40ms
  2026-05-23 20:53:48 /guide ................................................................................... ~ 1s
  2026-05-23 20:53:49 / ........................................................................................ ~ 5s
  2026-05-23 20:53:55 /guide ................................................................................... ~ 1s
  2026-05-23 20:53:55 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 20:53:55 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 20:54:04 /guide ................................................................................... ~ 1s
  2026-05-23 20:54:04 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 21:01:16 /marketplace ............................................................................ ~ 18s
  2026-05-23 21:01:16 /marketplace ............................................................................ ~ 18s
  2026-05-23 21:01:34 /categories ........................................................................ ~ 642.57ms
  2026-05-23 21:01:35 /assets/livestock/cow-ayrshire.jpg ................................................. ~ 507.63ms
  2026-05-23 21:01:35 /assets/livestock/goat-real.jpg .................................................... ~ 531.83ms
  2026-05-23 21:01:35 /assets/livestock/sheep-real.jpg .................................................... ~ 32.62ms
  2026-05-23 21:01:35 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 21:01:35 /assets/livestock/cows-field.jpg .................................................... ~ 44.43ms
  2026-05-23 21:01:35 /assets/livestock/chicken.jpg ....................................................... ~ 51.91ms
  2026-05-23 21:01:35 /assets/brand/coming-soon-web.png ................................................... ~ 36.49ms
  2026-05-23 21:01:37 /marketplace ......................................................................... ~ 1.02ms
  2026-05-23 21:01:38 /assets/livestock/cow-ayrshire.jpg .................................................. ~ 17.71ms
  2026-05-23 21:01:38 /assets/brand/logo-primary.png ..................................................... ~ 531.44ms
  2026-05-23 21:01:38 /assets/livestock/bull-real.jpg ...................................................... ~ 0.71ms
  2026-05-23 21:01:38 /assets/livestock/goat-real.jpg ...................................................... ~ 4.08ms
  2026-05-23 21:01:38 /assets/livestock/sheep-real.jpg .................................................... ~ 10.10ms
  2026-05-23 21:01:38 /assets/livestock/chicken.jpg ....................................................... ~ 13.88ms
  2026-05-23 21:05:18 /categories ........................................................................ ~ 525.04ms
  2026-05-23 21:05:19 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.80ms
  2026-05-23 21:05:19 /assets/brand/logo-primary.png ....................................................... ~ 6.91ms
  2026-05-23 21:05:19 /assets/livestock/goat-real.jpg ...................................................... ~ 0.71ms
  2026-05-23 21:05:19 /assets/livestock/sheep-real.jpg ..................................................... ~ 0.78ms
  2026-05-23 21:05:19 /assets/livestock/chicken.jpg ........................................................ ~ 4.36ms
